"animal_id","animal_type","breed","color","age_in_years","sex_upon_outcome","outcome_subtype","adoption_date","next_intake_date","return_type","churn_180_days_flag"
"A200922","Dog","Dachshund Mix","Black/Tan","16.00","Neutered Male","Foster","2013-11-22 09:44:00",NULL,NULL,0
"A210457","Dog","Chihuahua Shorthair","Tan/Black","17.00","Neutered Male","Foster","2016-10-07 12:34:00",NULL,NULL,0
"A226069","Dog","Labrador Retriever/Beagle","Sable/White","15.00","Neutered Male","Foster","2015-10-29 15:00:00",NULL,NULL,0
"A249087","Dog","German Shepherd Mix","Black/Brown","15.00","Spayed Female","Foster","2016-11-15 10:37:00",NULL,NULL,0
"A274546","Dog","Pointer Mix","Tricolor","11.00","Spayed Female",NULL,"2013-11-16 12:24:00",NULL,NULL,0
"A275975","Cat","Domestic Shorthair Mix","Black","11.00","Spayed Female",NULL,"2013-10-12 11:27:00",NULL,NULL,0
"A281542","Dog","Labrador Retriever Mix","Black/Brown Brindle","12.00","Neutered Male","Foster","2014-05-19 12:32:00",NULL,NULL,0
"A282897","Cat","Domestic Shorthair Mix","Black Smoke/White","12.00","Neutered Male",NULL,"2013-12-28 17:05:00","2015-07-06 15:06:00","Owner Surrender",0
"A282897","Cat","Domestic Shorthair Mix","Black Smoke/White","13.00","Neutered Male",NULL,"2015-07-11 16:49:00",NULL,NULL,0
"A295822","Cat","Domestic Longhair Mix","Black","12.00","Spayed Female",NULL,"2015-05-09 18:47:00",NULL,NULL,0
"A302820","Dog","German Shepherd Mix","Brown","11.00","Spayed Female","Foster","2014-07-25 10:30:00",NULL,NULL,0
"A304036","Cat","Domestic Shorthair Mix","Brown Tabby/White","13.00","Neutered Male",NULL,"2015-06-14 16:09:00","2016-04-19 08:22:00","Stray",0
"A307592","Cat","Domestic Longhair Mix","Orange Tabby/White","12.00","Neutered Male",NULL,"2014-06-14 15:15:00",NULL,NULL,0
"A312005","Cat","Siamese Mix","Lilac Point","13.00","Neutered Male",NULL,"2014-10-18 16:32:00",NULL,NULL,0
"A318574","Cat","Domestic Shorthair","Brown Tabby","12.00","Neutered Male",NULL,"2015-07-31 17:02:00","2016-04-27 18:17:00","Stray",0
"A321341","Cat","Domestic Shorthair Mix","Tortie","10.00","Spayed Female",NULL,"2014-03-30 16:38:00",NULL,NULL,0
"A338231","Dog","Border Collie Mix","Black/White","16.00","Neutered Male",NULL,"2018-03-25 13:25:00",NULL,NULL,0
"A338643","Dog","Labrador Retriever/Australian Cattle Dog","Black/White","13.00","Neutered Male","Foster","2017-03-16 18:55:00",NULL,NULL,0
"A338821","Dog","German Shepherd Mix","Brown/Black","11.00","Spayed Female",NULL,"2015-03-18 16:57:00",NULL,NULL,0
"A339803","Dog","Labrador Retriever/German Shepherd","Tan","9.00","Neutered Male",NULL,"2014-01-05 16:10:00",NULL,NULL,0
"A342659","Dog","Catahoula Mix","Black/Brown","13.00","Neutered Male","Foster","2017-09-12 08:53:00",NULL,NULL,0
"A346010","Dog","Chihuahua Shorthair Mix","Black/White","10.00","Spayed Female",NULL,"2016-08-18 16:42:00",NULL,NULL,0
"A348272","Dog","Labrador Retriever/Chow Chow","Brown/Black","11.00","Spayed Female",NULL,"2015-07-24 18:19:00",NULL,NULL,0
"A348400","Cat","Scottish Fold Mix","Black/White","14.00","Spayed Female",NULL,"2017-07-21 12:09:00",NULL,NULL,0
"A349317","Dog","Labrador Retriever Mix","Black","13.00","Neutered Male",NULL,"2017-08-17 18:30:00",NULL,NULL,0
"A350276","Cat","Abyssinian Mix","Brown Tabby/Agouti","13.00","Spayed Female",NULL,"2018-01-28 17:51:00",NULL,NULL,0
