"animal_id","intake_cohort","when_adoption"
"A006100","2014-Q1","0_No_adoption"
"A006100","2014-Q4","0_No_adoption"
"A006100","2017-Q4","0_No_adoption"
"A047759","2014-Q2","0_No_adoption"
"A134067","2013-Q4","0_No_adoption"
"A141142","2013-Q4","0_No_adoption"
"A163459","2014-Q4","0_No_adoption"
"A165752","2014-Q3","0_No_adoption"
"A178569","2014-Q1","0_No_adoption"
"A189592","2015-Q3","0_No_adoption"
"A191351","2015-Q4","0_No_adoption"
"A197810","2014-Q4","0_No_adoption"
"A200922","2013-Q4","4_Over_30_days"
"A208755","2015-Q1","0_No_adoption"
"A210457","2016-Q3","2_Within_14_days"
"A212672","2013-Q4","0_No_adoption"
"A214991","2013-Q4","0_No_adoption"
"A215368","2014-Q3","0_No_adoption"
"A218622","2013-Q4","0_No_adoption"
"A218624","2013-Q4","0_No_adoption"
"A221327","2015-Q2","0_No_adoption"
"A221448","2013-Q4","0_No_adoption"
"A226069","2015-Q4","3_Within_30_days"
"A228887","2013-Q4","0_No_adoption"
"A230482","2015-Q1","0_No_adoption"
"A233812","2014-Q3","0_No_adoption"
"A234161","2013-Q4","0_No_adoption"
"A236259","2014-Q3","0_No_adoption"
"A238870","2016-Q2","0_No_adoption"
"A243903","2013-Q4","0_No_adoption"
"A245945","2014-Q3","0_No_adoption"
"A245945","2015-Q2","0_No_adoption"
"A249087","2016-Q3","4_Over_30_days"
"A251095","2016-Q1","0_No_adoption"
"A251214","2014-Q3","0_No_adoption"
"A251268","2018-Q1","0_No_adoption"
"A251402","2017-Q4","0_No_adoption"
"A253939","2014-Q1","0_No_adoption"
"A254503","2014-Q4","0_No_adoption"
"A256412","2013-Q4","0_No_adoption"
"A258441","2014-Q4","0_No_adoption"
"A260631","2014-Q4","0_No_adoption"
"A260914","2015-Q2","0_No_adoption"
"A261398","2016-Q1","0_No_adoption"
"A261770","2014-Q4","0_No_adoption"
"A267174","2014-Q1","0_No_adoption"
"A268022","2015-Q3","0_No_adoption"
"A271790","2014-Q3","0_No_adoption"
"A274546","2013-Q4","1_Within_7_days"
"A276644","2016-Q4","0_No_adoption"
"A276780","2013-Q4","0_No_adoption"
"A279045","2015-Q1","0_No_adoption"
"A279920","2014-Q3","0_No_adoption"
"A281542","2013-Q4","4_Over_30_days"
"A282897","2013-Q4","4_Over_30_days"
"A282897","2015-Q3","1_Within_7_days"
"A283735","2015-Q1","0_No_adoption"
"A284639","2014-Q1","0_No_adoption"
"A285685","2017-Q2","0_No_adoption"
"A287017","2014-Q4","0_No_adoption"
"A287017","2015-Q3","0_No_adoption"
"A287217","2014-Q4","0_No_adoption"
"A290917","2014-Q2","0_No_adoption"
"A291843","2017-Q4","0_No_adoption"
"A292482","2014-Q3","0_No_adoption"
"A293138","2017-Q2","0_No_adoption"
"A293383","2018-Q1","0_No_adoption"
"A293634","2014-Q3","0_No_adoption"
"A294132","2013-Q4","0_No_adoption"
"A294728","2014-Q3","0_No_adoption"
"A295822","2014-Q4","4_Over_30_days"
"A297699","2017-Q4","0_No_adoption"
"A298074","2015-Q3","0_No_adoption"
"A298677","2015-Q3","0_No_adoption"
"A301824","2016-Q3","0_No_adoption"
"A302820","2014-Q1","4_Over_30_days"
"A303591","2016-Q4","0_No_adoption"
