"breed","no_dogs","average_no_intakes","max_no_intakes","no_dogs_with_at_least_2_intakes","recidivism_percentage"
"Doberman Pinsch","32","1.56","5","9","28.13"
"Staffordshire Mix","294","1.31","5","68","23.13"
"Pit Bull/Labrador Retriever","83","1.29","4","19","22.89"
"Labrador Retriever/Beagle","35","1.29","3","8","22.86"
"American Bulldog Mix","252","1.29","5","57","22.62"
"Chinese Sharpei Mix","70","1.27","4","15","21.43"
"Whippet Mix","42","1.26","3","9","21.43"
"Siberian Husky","89","1.29","4","19","21.35"
"Standard Schnauzer Mix","40","1.25","4","8","20.00"
"Chihuahua Shorthair/Pug","41","1.24","3","8","19.51"
"American Staffordshire Terrier Mix","170","1.29","6","33","19.41"
"Basenji Mix","37","1.22","3","7","18.92"
"Basset Hound","32","1.22","3","6","18.75"
"Boxer/Labrador Retriever","32","1.19","2","6","18.75"
"Labrador Retriever/Boxer","43","1.21","3","8","18.60"
"Pit Bull Mix","5064","1.26","9","934","18.44"
"Manchester Terrier Mix","82","1.23","3","15","18.29"
"American Pit Bull Terrier Mix","148","1.23","5","27","18.24"
"Pointer Mix","266","1.27","5","48","18.05"
"English Bulldog Mix","61","1.20","3","11","18.03"
"Boxer/Pit Bull","39","1.26","4","7","17.95"
"Australian Shepherd","39","1.18","2","7","17.95"
"German Shepherd/Labrador Retriever","123","1.30","5","22","17.89"
"Basset Hound Mix","102","1.25","4","18","17.65"
"Akita Mix","34","1.18","2","6","17.65"
"German Shepherd","191","1.24","4","33","17.28"
"Rottweiler","87","1.21","3","15","17.24"
"Bull Terrier Mix","64","1.30","4","11","17.19"
"Bichon Frise Mix","47","1.21","4","8","17.02"
"Redbone Hound Mix","53","1.28","4","9","16.98"
"Boxer Mix","572","1.20","6","94","16.43"
"Parson Russell Terrier Mix","37","1.22","4","6","16.22"
"Black Mouth Cur Mix","204","1.22","4","33","16.18"
"Miniature Poodle","50","1.16","2","8","16.00"
"Wire Hair Fox Terrier Mix","38","1.18","3","6","15.79"
"Siberian Husky Mix","363","1.22","5","57","15.70"
"Mastiff Mix","83","1.17","3","13","15.66"
"Black/Tan Hound Mix","64","1.20","4","10","15.63"
"Rottweiler Mix","271","1.21","4","42","15.50"
"Rhod Ridgeback Mix","65","1.20","4","10","15.38"
"Labrador Retriever/Border Collie","65","1.23","4","10","15.38"
"Labrador Retriever/German Shepherd","117","1.20","3","18","15.38"
"Border Collie/Labrador Retriever","59","1.20","4","9","15.25"
"Catahoula Mix","400","1.21","4","61","15.25"
"Beagle","59","1.36","7","9","15.25"
"Doberman Pinsch Mix","105","1.18","3","16","15.24"
"Pit Bull/Boxer","40","1.33","7","6","15.00"
"Norwich Terrier Mix","40","1.15","2","6","15.00"
"Pit Bull","190","1.23","6","28","14.74"
"West Highland Mix","35","1.20","3","5","14.29"
"Border Collie Mix","566","1.18","6","80","14.13"
"Shetland Sheepdog Mix","36","1.19","3","5","13.89"
"Labrador Retriever/Australian Cattle Dog","65","1.14","2","9","13.85"
"German Shepherd Mix","1665","1.18","5","229","13.75"
"Harrier Mix","44","1.18","3","6","13.64"
"Border Terrier Mix","110","1.15","3","15","13.64"
"Great Pyrenees","44","1.20","4","6","13.64"
"Chow Chow Mix","125","1.17","5","17","13.60"
"Labrador Retriever/Pointer","37","1.16","3","5","13.51"
"Labrador Retriever","201","1.20","6","27","13.43"
